mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.0019997596740722657,1.1384930277483867e-05,0.0007920265197753906,0.00039618416382021374,1,{'C': 1},0.5,0.6401209677419355,0.7193548387096774,0.4833333333333333,0.5,0.5685618279569893,0.09436587029222371,1
0.003190279006958008,0.0003984225137974875,0.00020084381103515624,0.0004016876220703125,5,{'C': 5},0.5,0.6391129032258065,0.6043010752688173,0.5,0.5,0.5486827956989248,0.06063174277691159,3
0.013961696624755859,0.01142384897733545,0.000797891616821289,0.0003989458760905677,10,{'C': 10},0.5,0.6391129032258065,0.6709677419354839,0.5,0.5,0.5620161290322581,0.07661901503635037,2
