mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_batch_size,param_hidden_layer_sizes,param_momentum,param_random_state,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,mean_test_score,std_test_score,rank_test_score
0.4843510627746582,0.050499128013023885,3.978729248046875e-05,0.00019491712964804495,0.1,5,"(20,)",0.9,0,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.9, 'random_state': 0}",0.0,0.577372050649622,0.3029130785153449,0.4552986372567942,0.6629935441317959,0.0,0.017751790062418157,0.5514316090024293,0.4825134066488698,0.4359663863954307,0.0,0.0,0.3150951102331632,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.3787669462544485,0.49043552428868825,0.7874992309581578,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.34878705120629616,0.26047300473788215,1638
0.4758253002166748,0.055575938185012476,0.000624847412109375,0.0030611146535330547,0.1,5,"(20,)",0.9,9,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.9, 'random_state': 9}",0.0,0.577372050649622,0.0,0.4552986372567942,0.6629935441317959,0.0,0.28938528360048305,0.5514316090024293,0.4825134066488698,0.4359663863954307,0.0,0.0,0.3150951102331632,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.3787669462544485,0.49043552428868825,0.739578761313524,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.3456190490214196,0.25842954510675975,1642
0.5131841564178466,0.06637360686674765,0.0006647396087646484,0.003059209562433338,0.1,5,"(20,)",0.9,1,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.9, 'random_state': 1}",0.0,0.577372050649622,0.0,0.5893232998783976,0.6629935441317959,0.0,0.017751790062418157,0.5514316090024293,0.4825134066488698,0.4359663863954307,0.0,0.0,0.3150951102331632,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.3787669462544485,0.49043552428868825,0.7874992309581578,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.34203151457054654,0.27284242175509166,1647
0.48377872467041017,0.07074639366388279,0.0,0.0,0.1,5,"(20,)",0.9,6,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.9, 'random_state': 6}",0.0,0.577372050649622,0.0,0.2920408301622845,0.6629935441317959,0.0,0.4703200829139203,0.5514316090024293,0.4825134066488698,0.4359663863954307,0.0,0.16691068827123642,0.3150951102331632,0.7808642096573924,0.5735196175536363,0.06272500481871801,0.3787669462544485,0.49043552428868825,0.7874992309581578,0.0,0.4229020617662603,0.0,0.5982137560548297,0.5441738079967041,0.6387187202625093,0.36929850352080396,0.26165068771580025,1613
0.5878828334808349,0.06926882359654868,0.0,0.0,0.1,5,"(20,)",0.8,0,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.8, 'random_state': 0}",0.0,0.577372050649622,0.0,0.4552986372567942,0.6629935441317959,0.0,0.0,0.5514316090024293,0.4825134066488698,0.4623410145760527,0.0,0.0,0.3150951102331632,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.3787669462544485,0.49043552428868825,0.739578761313524,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.33509862280462516,0.26747937692113843,1656
0.5937708950042725,0.06307783406620154,0.0,0.0,0.1,5,"(20,)",0.8,9,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.8, 'random_state': 9}",0.0,0.0,0.0,0.2920408301622845,0.6629935441317959,0.0,0.0,0.5514316090024293,0.4825134066488698,0.4623410145760527,0.0,0.0,0.0,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.0,0.49043552428868825,0.6949858751991272,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.27593523079077953,0.2778714176951647,1709
0.6307628631591797,0.06746203289827055,0.0006248569488525391,0.003061161373842175,0.1,5,"(20,)",0.8,1,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.8, 'random_state': 1}",0.0,0.577372050649622,0.0,0.4552986372567942,0.6629935441317959,0.0,0.017751790062418157,0.5514316090024293,0.4825134066488698,0.4623410145760527,0.0,0.16691068827123642,0.0,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.3787669462544485,0.49043552428868825,0.739578761313524,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.3298813175286448,0.26864511059372037,1663
0.5811351203918457,0.05173522200294839,0.0006635379791259765,0.003053790692352906,0.1,5,"(20,)",0.8,6,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.8, 'random_state': 6}",0.0,0.577372050649622,0.0,0.4552986372567942,0.6629935441317959,0.0,0.017751790062418157,0.5514316090024293,0.4825134066488698,0.4623410145760527,0.0,0.0,0.3150951102331632,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.3787669462544485,0.49043552428868825,0.6949858751991272,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6037892289670023,0.3326277993107257,0.2625124650928387,1657
0.6369978618621827,0.0485807170268288,0.0006661033630371094,0.0030594560679631797,0.1,5,"(20,)",0.7,0,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.7, 'random_state': 0}",0.0,0.4014016289052887,0.0,0.2920408301622845,0.6629935441317959,0.0,0.017751790062418157,0.5514316090024293,0.4825134066488698,0.4623410145760527,0.0,0.0,0.0,0.7808642096573924,0.47050178995799663,0.0,0.3787669462544485,0.2320059162262966,0.739578761313524,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.2967895763289972,0.2690693278596784,1697
0.6399354553222656,0.03992461396547725,0.0006647396087646484,0.003058206815021388,0.1,5,"(20,)",0.7,9,"{'alpha': 0.1, 'batch_size': 5, 'hidden_layer_sizes': (20,), 'momentum': 0.7, 'random_state': 9}",0.0,0.0,0.0,0.2920408301622845,0.6629935441317959,0.0,0.017751790062418157,0.5514316090024293,0.4825134066488698,0.4623410145760527,0.0,0.0,0.0,0.7808642096573924,0.47050178995799663,0.06272500481871801,0.3787669462544485,0.2320059162262966,0.6562493591317982,0.0,0.4229020617662603,0.0,0.34175337130066,0.5441738079967041,0.6387187202625093,0.2799093352782654,0.266820211500452,1706
