mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_batch_size,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,mean_test_score,std_test_score,rank_test_score
1.7153727912902832,0.3376385163181991,0.00015954017639160155,0.00036555247590306186,50,"(50,)","{'batch_size': 50, 'hidden_layer_sizes': (50,)}",0.47493784434054576,0.5111619702900985,0.43897699037068827,0.4482246479590773,0.38259289367676985,0.5243860603645646,0.5890776530121561,0.36107381302970226,0.2016222185758336,0.40990608029415776,0.42605405240863803,0.401565443575407,0.35863847646789965,0.4752790576315799,0.48790258604400255,0.4231108812303164,0.5207888776866595,0.30686467057151184,0.6645330685006688,0.4492113076269838,0.5068441209657292,0.3961408887947126,0.5220156025680206,0.4345570839373177,0.6762795649500738,0.4556698341949246,0.10053022556194757,4
0.6576407241821289,0.1721491074225616,0.0002792930603027344,0.0004478652797809873,50,"(20, 6)","{'batch_size': 50, 'hidden_layer_sizes': (20, 6)}",0.12324410033395122,0.53661090089631,0.31518202188421507,0.46622430599991876,0.30711330297642886,0.5241491012253131,0.5359578212092475,0.3578036502158357,0.37535796101658714,0.3902278134144465,0.47125540409672384,-0.037447245851953304,0.3771848583746888,0.4313317026859083,0.4610367762646649,0.32232563098819106,0.43495868815297517,0.3740177785475383,0.6157474779157462,0.28805529007053843,0.4938083123580481,0.5087769471852013,0.46238475057158207,0.34775612436246267,0.6877345749244229,0.4068319219927598,0.14551935327740037,21
1.0475578784942627,0.2222828361409104,0.0002792739868164062,0.0004478346796541882,50,"(50, 6)","{'batch_size': 50, 'hidden_layer_sizes': (50, 6)}",0.17150594025845342,0.4083251371010706,0.3231708416325653,0.3571967543235538,0.4202318545702472,0.41375199890455416,0.33413385048758,0.37144562981396745,0.4337348894930116,0.5506873397209431,0.4544207924893651,0.5420821095389627,0.14769988811026438,0.425321432411155,0.4998747312379383,0.4355959379342395,0.3934625361341401,0.5747044653187163,0.5767377881835274,0.3257783653197198,0.6233968246359551,0.5189809292862757,0.5179784095692292,0.14635524503849703,0.43629482434626615,0.41611474063440795,0.12533952214292807,14
0.8155808067321777,0.15241003793113708,0.00031892776489257814,0.00046491398796128175,50,"(20, 10)","{'batch_size': 50, 'hidden_layer_sizes': (20, 10)}",0.3923438769948623,0.5491570439961334,0.4151649387311755,0.4848104393353845,0.4771754556552971,0.3194666391747534,0.27886542153368327,0.4701530130793427,0.15181331742044982,0.4049745824486496,0.44014174900546577,0.5601105652053867,0.2356334630032153,0.3253194997230531,0.5307342074585635,0.3586588467716255,0.5543160854993574,0.004246465472447943,0.6008910485099884,0.27612443533428066,0.4726494637499257,0.32963230977645713,0.5544535978485375,0.32916186527929303,0.6214301110874746,0.4054971376837922,0.14498884714506688,22
1.2499736404418946,0.15334233933289423,0.00035933494567871096,0.000479114053966614,50,"(50, 10)","{'batch_size': 50, 'hidden_layer_sizes': (50, 10)}",0.36358455894815117,0.46717787036631647,0.27356031177708695,0.5482365212524966,0.3536384004833799,0.38271356191034067,0.5309105490079533,0.33648719925238413,0.3542800618693907,0.5347326288059603,0.529153133924634,0.4451777854150501,0.1107637399306069,0.6107187613996186,0.47629649923748124,0.43221166841277336,0.488025748073327,0.5369329314850082,0.5842293810834848,0.2948166304935243,0.5783520934219124,0.3565359376875151,0.28063676522490294,0.4105054037162661,0.33144021524717215,0.42444473433706953,0.11842714518853778,11
0.9576373863220214,0.3721111878859317,0.00028158187866210937,0.0004515866688197879,50,"(50, 10, 6)","{'batch_size': 50, 'hidden_layer_sizes': (50, 10, 6)}",0.1902156409192065,0.4632463838239919,0.3950855304806423,0.27759185820805754,0.3750863632311472,0.4209796552592727,-0.16783746393326876,0.3591266958594425,0.5397041549296033,0.027473239688964635,0.10820154057502887,0.431087127746308,0.2737379916121591,0.0,0.5996433328822378,0.47062070122847693,0.5366074464642462,0.5927827481951724,0.4951537055447927,0.17678550202799254,0.5898874808637491,0.3607370736571202,0.35998259003571026,0.4414019107274285,0.5253948849841786,0.35370784380046644,0.19709400930875276,39
0.6934243488311768,0.19708982124648947,0.0003207206726074219,0.0004675703485499348,50,"(20, 10, 6)","{'batch_size': 50, 'hidden_layer_sizes': (20, 10, 6)}",0.3768344520209834,0.4026587769894047,0.26780342972887355,0.3636831723904837,0.28943562093638264,0.5901221980339756,0.5397111547558218,0.23289480764749287,0.35809265437618154,0.2587741958520145,0.18333773087551566,0.579379480178451,0.20816647445311173,0.5408336627802004,0.560374744242142,0.3605054747755189,0.4724080847044229,0.4460699765509956,0.5743772773564296,0.459674589104124,0.5298952572043588,0.4268383363848211,0.450232470382738,0.34588089612448714,0.17263303974932545,0.39962471830393026,0.12898972992399635,28
0.7651565551757813,0.18653475168195405,0.00019849777221679686,0.00039702726930889836,50,"(20, 8)","{'batch_size': 50, 'hidden_layer_sizes': (20, 8)}",0.2678148931387365,0.5476367364193054,0.2819637507933138,0.5567033127951364,0.42804206036454695,0.5554072083278997,0.615241558913021,0.34962660704310633,0.41550137654469577,0.3986227165939986,0.2721405454100108,0.4911576371667182,0.29362693961311065,0.35154023002820983,0.3139360129962416,0.44701793053702826,0.5702705331288386,0.4087054953163812,0.537857167799935,0.27729533673136403,0.4279061246164237,0.546417444985422,0.5063775371269538,0.27991112116706673,0.517660203449356,0.42633521924027284,0.11087504981252809,10
0.938888053894043,0.40547611927956717,0.00047817230224609373,0.0004976984269603431,50,"(50, 8)","{'batch_size': 50, 'hidden_layer_sizes': (50, 8)}",0.11715890264044108,0.401194078776843,0.20103664926147724,0.533091419754227,0.4810816157452573,0.38568852990077523,0.41410282528906767,0.3937875406482092,0.14744776782650168,0.4736104516677203,0.21898922657355027,0.5618572604481674,0.4460496416354099,0.5058553127789157,0.4066993602742025,0.45110337213938756,0.48082637564490094,0.3985215269013047,0.40486329889608386,0.21532013047145335,0.3768485690332433,0.526669121196513,0.4434903342451329,0.4674128518874156,0.6373676305025239,0.403602951765549,0.12777545152683426,24
