mean_fit_time,mean_score_time,mean_test_score,param_clf__C,param_clf__class_weight,params,rank_test_score,split0_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split1_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split2_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split3_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,split4_test_score,split50_test_score,split51_test_score,split52_test_score,split53_test_score,split54_test_score,split55_test_score,split56_test_score,split57_test_score,split58_test_score,split59_test_score,split5_test_score,split60_test_score,split61_test_score,split62_test_score,split63_test_score,split64_test_score,split65_test_score,split66_test_score,split67_test_score,split68_test_score,split69_test_score,split6_test_score,split70_test_score,split71_test_score,split72_test_score,split73_test_score,split74_test_score,split75_test_score,split76_test_score,split77_test_score,split78_test_score,split79_test_score,split7_test_score,split80_test_score,split81_test_score,split82_test_score,split83_test_score,split84_test_score,split85_test_score,split86_test_score,split87_test_score,split88_test_score,split89_test_score,split8_test_score,split90_test_score,split91_test_score,split92_test_score,split93_test_score,split94_test_score,split95_test_score,split96_test_score,split97_test_score,split98_test_score,split99_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score
0.011027457714080811,0.0010937404632568358,0.24175378562999728,10,balanced,"{'clf__class_weight': 'balanced', 'clf__C': 10}",6,0.25928148942086565,-0.0597614304667197,0.0,0.5185629788417314,0.3416666666666667,0.15096490996388548,0.39849252978731764,0.28022426915890253,0.1106566670344977,0.35634832254989923,0.19920476822239896,0.7254762501100116,0.3651483716701107,0.41833001326703767,0.4375,0.28022426915890253,0.031782086308186394,0.39849252978731764,0.28022426915890253,-0.027066598098038405,-0.03563483225498989,-0.0922138891954146,0.05976143046671962,0.23652495839563306,0.18257418583505536,0.059131239598908286,0.45636523834449844,0.088070484592798,0.3416666666666667,0.39727607885233013,-0.03563483225498989,0.42761798705987897,0.295084445425327,0.425,0.25928148942086565,0.059131239598908286,0.5477225575051661,0.425,0.28022426915890253,0.08625819491779431,0.0960768922830523,0.22555498415031947,0.0975900072948533,0.0975900072948533,0.15,0.18257418583505536,0.3651483716701107,0.4780914437337574,-0.1626500121580889,0.21144501580551547,0.21144501580551547,0.6485190229106029,0.22555498415031947,0.027066598098038314,0.31352722326440996,0.088070484592798,0.35355339059327373,0.06482037235521637,0.12500000000000003,0.2722178614686482,0.28022426915890253,0.0960768922830523,0.33371190623595737,0.16035674514745465,0.35634832254989923,0.35634832254989923,0.23333333333333334,0.0,0.3651483716701107,0.3651483716701107,0.15,0.2722178614686482,0.018077538151554762,0.21452908258025827,0.16035674514745465,0.5523398999523438,0.37142857142857144,0.36991017400652393,-0.06249999999999994,0.40824829046386296,0.4780914437337574,0.031782086308186394,0.024397501823713273,0.024397501823713273,0.6485190229106029,0.35634832254989923,0.7008255578851517,0.35634832254989923,0.36991017400652393,-0.0597614304667197,0.625,0.29880715233359834,0.088070484592798,0.349697526139891,0.16265001215808883,0.1635825762703939,0.047619047619047665,-0.027066598098038405,0.42404337020260063,0.1106566670344977,0.009710011322018668,0.003986637374450983,0.18985619813631446
0.1828731393814087,0.00140622615814209,0.0,100,"{0: 1, 1: 1}","{'clf__class_weight': {0: 1, 1: 1}, 'clf__C': 100}",12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040557871202125145,0.004471514200015546,0.0
0.05494164705276489,0.0010937905311584472,0.2494685919758886,100,"{0: 1, 1: 2}","{'clf__class_weight': {0: 1, 1: 2}, 'clf__C': 100}",3,0.25928148942086565,-0.0597614304667197,0.0,0.4375,0.3416666666666667,0.15096490996388548,0.39849252978731764,0.28022426915890253,0.1106566670344977,0.35634832254989923,0.19920476822239896,0.6123724356957945,0.4730499167912661,0.41833001326703767,0.4375,0.33371190623595737,0.031782086308186394,0.39849252978731764,0.39727607885233013,-0.027066598098038405,-0.03563483225498989,-0.0922138891954146,0.05976143046671962,0.23652495839563306,0.18257418583505536,0.059131239598908286,0.39849252978731764,0.088070484592798,0.3416666666666667,0.39727607885233013,-0.03563483225498989,0.5163977794943223,0.42404337020260063,0.349697526139891,0.25928148942086565,0.059131239598908286,0.4780914437337574,0.4643716460347527,0.28022426915890253,0.08625819491779431,0.0960768922830523,0.22555498415031947,0.23162640965743445,0.17142178795424276,0.15,0.18257418583505536,0.3651483716701107,0.5303300858899106,-0.1626500121580889,0.21144501580551547,0.2846520432287211,0.6485190229106029,0.35634832254989923,0.027066598098038314,0.31352722326440996,0.088070484592798,0.35355339059327373,0.06482037235521637,0.12500000000000003,0.2722178614686482,0.28022426915890253,0.0960768922830523,0.33371190623595737,0.16035674514745465,0.48795003647426655,0.22555498415031947,0.23333333333333334,0.0,0.3651483716701107,0.3651483716701107,0.15,0.39849252978731764,0.018077538151554762,0.21452908258025827,0.0975900072948533,0.5523398999523438,0.42761798705987897,0.31352722326440996,-0.06249999999999994,0.40824829046386296,0.5477225575051661,0.031782086308186394,0.024397501823713273,0.024397501823713273,0.5164589025080293,0.35634832254989923,0.7008255578851517,0.35634832254989923,0.36991017400652393,-0.0597614304667197,0.625,0.41833001326703767,0.088070484592798,0.39727607885233013,0.16265001215808883,0.1635825762703939,0.047619047619047665,-0.027066598098038405,0.42404337020260063,0.1106566670344977,0.04176707518792733,0.003986819883220552,0.18998577721716797
0.13870320796966554,0.0008713030815124512,0.24659900023873316,100,"{0: 1, 1: 3}","{'clf__class_weight': {0: 1, 1: 3}, 'clf__C': 100}",4,0.25928148942086565,0.11826247919781657,0.23652495839563306,0.5477225575051661,0.3416666666666667,0.2846520432287211,0.39849252978731764,0.39727607885233013,0.1106566670344977,0.35634832254989923,0.19920476822239896,0.0,0.5477225575051661,0.41833001326703767,0.4375,0.2722178614686482,0.031782086308186394,0.39849252978731764,0.39849252978731764,-0.027066598098038405,-0.12344267996967345,-0.0922138891954146,0.05976143046671962,0.23652495839563306,0.18257418583505536,0.06482037235521637,0.39849252978731764,0.088070484592798,0.3416666666666667,0.2722178614686482,-0.03563483225498989,0.5163977794943223,0.5163977794943223,0.33371190623595737,0.25928148942086565,0.23904572186687864,0.5913123959890826,0.5164589025080293,0.33371190623595737,0.08625819491779431,0.0960768922830523,0.42761798705987897,0.23162640965743445,0.17142178795424276,0.15,0.23652495839563306,0.3651483716701107,0.5303300858899106,-0.1626500121580889,0.21144501580551547,0.2846520432287211,0.0,0.42761798705987897,0.027066598098038314,0.31352722326440996,0.088070484592798,0.35355339059327373,0.06482037235521637,0.12500000000000003,0.2722178614686482,0.28022426915890253,0.33371190623595737,0.3416666666666667,0.36991017400652393,0.48795003647426655,0.35634832254989923,-0.42257712736425823,0.0,-0.2948839123097946,0.4780914437337574,0.15,0.39849252978731764,0.018077538151554762,0.21452908258025827,0.23162640965743445,0.5523398999523438,0.42761798705987897,0.31352722326440996,-0.06249999999999994,0.40824829046386296,0.6504436355879909,0.15096490996388548,0.024397501823713273,0.024397501823713273,0.5164589025080293,0.2927700218845599,0.6225317562548818,0.35634832254989923,0.36991017400652393,0.18257418583505536,-0.10660035817780514,0.41833001326703767,0.088070484592798,0.45636523834449844,0.45636523834449844,0.1635825762703939,0.047619047619047665,-0.027066598098038405,0.5523398999523438,0.1106566670344977,0.05453418016450325,0.0035012504889233792,0.20747285528970652
0.049823489189147946,0.0010937213897705077,0.24954696900734372,100,balanced,"{'clf__class_weight': 'balanced', 'clf__C': 100}",2,0.25928148942086565,-0.0597614304667197,0.0,0.5185629788417314,0.3416666666666667,0.15096490996388548,0.39849252978731764,0.39727607885233013,0.1106566670344977,0.42404337020260063,0.19920476822239896,0.6123724356957945,0.5976143046671967,0.41833001326703767,0.4375,0.33371190623595737,0.031782086308186394,0.39849252978731764,0.28022426915890253,-0.027066598098038405,-0.0975900072948533,-0.0922138891954146,0.05976143046671962,0.23652495839563306,0.18257418583505536,0.059131239598908286,0.39849252978731764,0.088070484592798,0.3416666666666667,0.39727607885233013,-0.03563483225498989,0.5163977794943223,0.295084445425327,0.349697526139891,0.25928148942086565,0.059131239598908286,0.4780914437337574,0.4643716460347527,0.28022426915890253,0.08625819491779431,0.0960768922830523,0.22555498415031947,0.0975900072948533,0.17142178795424276,0.15,0.18257418583505536,0.3651483716701107,0.5913123959890826,-0.1626500121580889,0.21144501580551547,0.2846520432287211,0.6485190229106029,0.35634832254989923,0.027066598098038314,0.31352722326440996,0.088070484592798,0.35355339059327373,0.06482037235521637,0.12500000000000003,0.2722178614686482,0.28022426915890253,0.0960768922830523,0.33371190623595737,0.16035674514745465,0.48795003647426655,0.35634832254989923,0.23333333333333334,0.0,0.3651483716701107,0.3651483716701107,0.15,0.39849252978731764,0.018077538151554762,0.21452908258025827,0.16035674514745465,0.5523398999523438,0.42761798705987897,0.36991017400652393,-0.06249999999999994,0.40824829046386296,0.4780914437337574,0.031782086308186394,0.024397501823713273,0.024397501823713273,0.5164589025080293,0.35634832254989923,0.7008255578851517,0.35634832254989923,0.36991017400652393,-0.0597614304667197,0.625,0.35355339059327373,0.088070484592798,0.28022426915890253,0.16265001215808883,0.1635825762703939,0.047619047619047665,-0.027066598098038405,0.42404337020260063,0.1106566670344977,0.03512756321447723,0.003986567850817502,0.1933684813494735
