mean_fit_time,mean_score_time,mean_test_score,param_class_weight,param_gamma,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score
0.003124833106994629,0.0,0.4250097337804244,balanced,0.1,"{'class_weight': 'balanced', 'gamma': 0.1}",8,0.38060102844992794,0.4359063750578694,0.4406478264015861,0.39305149417108476,0.3947710169758613,0.2683281572999748,0.375208668441464,0.45514956368175624,0.5157239530948289,0.5911561035156879,0.006249666334276355,0.0,0.0822155202218131
0.003124690055847168,0.0015633106231689453,0.47905325625011724,balanced,1,"{'class_weight': 'balanced', 'gamma': 1}",1,0.5013026509266503,0.4359063750578694,0.4683615261752708,0.39305149417108476,0.32003683870283267,0.47140452079103173,0.5441595441595442,0.5815799980377996,0.5525429845253618,0.5229763603684908,0.006249380113740902,0.004689931869506836,0.07545024166201937
0.0031248807907104494,0.0031249523162841797,0.4470824323491869,balanced,10,"{'class_weight': 'balanced', 'gamma': 10}",6,0.22280266075840668,0.4768306032989328,0.5275708443350773,0.4443126517646069,0.2817180849095055,0.38758511609996354,0.39305149417108476,0.5318978854080616,0.6637465183030645,0.5441595441595442,0.006249761581648282,0.006249904633477868,0.12462534933776899
0.010936856269836426,0.0,0.08923839903880143,balanced,100,"{'class_weight': 'balanced', 'gamma': 100}",12,-0.1264911064067352,0.0,0.2783882181415011,0.29718527608057627,-0.10482848367219183,0.0,0.23076923076923075,0.32025630761017426,0.0,0.0,0.007159853284407702,0.0,0.16392577126124666
0.0015626192092895509,0.0,0.0,"{0: 1, 1: 1}",0.1,"{'class_weight': {0: 1, 1: 1}, 'gamma': 0.1}",16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004687857627868652,0.0,0.0
0.0015624523162841796,0.003124690055847168,0.321440602073129,"{0: 1, 1: 1}",1,"{'class_weight': {0: 1, 1: 1}, 'gamma': 1}",10,0.31304951684997057,0.024218258071629015,0.33870967741935487,0.21951759136605822,0.3004803573066878,0.08084520834544433,0.5447047794019222,0.37499999999999994,0.4803844614152614,0.5447047794019222,0.004687356948852538,0.006249380122836751,0.16891621180908087
0.0062500953674316405,0.0,0.2924430569114013,"{0: 1, 1: 1}",10,"{'class_weight': {0: 1, 1: 1}, 'gamma': 10}",11,0.4109974682633932,0.15345614739654184,0.5220925637866243,0.30117039501358545,0.1292191476761844,0.3849001794597505,0.2219167619785609,0.31506301890630223,0.0,0.4803844614152614,0.007654772296723626,0.0,0.1574805530138829
0.007811951637268067,0.0,0.04724077887228877,"{0: 1, 1: 1}",100,"{'class_weight': {0: 1, 1: 1}, 'gamma': 100}",15,-0.1264911064067352,0.0,0.2783882181415011,0.0,0.0,0.0,0.0,0.32025630761017426,0.0,0.0,0.007811951646436417,0.0,0.13213922796536123
0.003124904632568359,0.0,0.4568395890332115,"{0: 1, 1: 2}",0.1,"{'class_weight': {0: 1, 1: 2}, 'gamma': 0.1}",3,0.36451826184485026,0.3848759284324474,0.44426915160056246,0.43112399091829123,0.3947710169758613,0.2519763153394848,0.5289618692410671,0.5871365639519862,0.5911561035156879,0.5940280741424203,0.006249809268774808,0.0,0.1090130796031122
0.004687213897705078,0.0,0.45647003020905463,"{0: 1, 1: 2}",1,"{'class_weight': {0: 1, 1: 2}, 'gamma': 1}",4,0.4875,0.3848759284324474,0.4683615261752708,0.43112399091829123,0.2449894717530557,0.5068420748999524,0.5441595441595442,0.5163977794943222,0.48318238597857593,0.49798441617957234,0.0071598374956880935,0.0,0.08215901971659552
0.006249809265136718,0.0,0.41831283877948827,"{0: 1, 1: 2}",10,"{'class_weight': {0: 1, 1: 2}, 'gamma': 10}",9,0.3144854510165755,0.44728753343474437,0.5275708443350773,0.5204472455316335,0.12812370226601225,0.3333333333333333,0.32025630761017426,0.5318978854080616,0.41036467732879783,0.6485012747192744,0.007654421844651832,0.0,0.14144771472499987
0.008849692344665528,0.0016622543334960938,0.08923839903880143,"{0: 1, 1: 2}",100,"{'class_weight': {0: 1, 1: 2}, 'gamma': 100}",12,-0.1264911064067352,0.0,0.2783882181415011,0.29718527608057627,-0.10482848367219183,0.0,0.23076923076923075,0.32025630761017426,0.0,0.0,0.007625035081334262,0.004663143049166238,0.16392577126124666
0.004496860504150391,0.0006998300552368164,0.42590169957563817,"{0: 1, 1: 3}",0.1,"{'class_weight': {0: 1, 1: 3}, 'gamma': 0.1}",7,0.44264996918028915,0.42131779045698453,0.3880018378972262,0.3550032367039896,0.4364357804719848,0.4061811972299616,0.4088381597072996,0.4755948656056709,0.4803844614152614,0.44525308461752455,0.0005002978304346975,0.0004581468569068735,0.036484802742487776
0.004552245140075684,0.00029997825622558595,0.4557433860271378,"{0: 1, 1: 3}",1,"{'class_weight': {0: 1, 1: 3}, 'gamma': 1}",5,0.38060102844992794,0.48795944899992744,0.4683615261752708,0.4482809325681627,0.32003683870283267,0.47140452079103173,0.6098910265570043,0.5527707983925667,0.44525308461752455,0.3736323588785367,0.006523941389886866,0.0004582243553315352,0.08079005669548542
0.006249785423278809,0.0,0.4583755010553912,"{0: 1, 1: 3}",10,"{'class_weight': {0: 1, 1: 3}, 'gamma': 10}",2,0.18,0.6098241729265264,0.497260592575501,0.4443126517646069,0.32003683870283267,0.42365927286816174,0.5289618692410671,0.627376434428478,0.41036467732879783,0.5441595441595442,0.007654392661074863,0.0,0.12922309165594184
