mean_fit_time,mean_score_time,mean_test_score,param_class_weight,param_coef0,param_degree,param_gamma,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,std_fit_time,std_score_time,std_test_score
0.003907144069671631,0.0,-0.11939354429289947,balanced,0,1,0.1,"{'gamma': 0.1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",156,-0.13828275675960497,-0.0268607654675127,-0.22413272587221036,-0.08798310886449139,0.006767372041162698,0.0,0.07210292750588891
0.0,0.0,-0.04302845924115978,balanced,0,1,1,"{'gamma': 1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",81,-0.09581644410252331,-0.09887865147828519,-0.22413272587221036,0.24759378423606915,0.0,0.0,0.17514354655902728
0.0,0.0,-0.0952418481847593,balanced,0,1,10,"{'gamma': 10, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",149,-0.13828275675960497,-0.09887865147828519,-0.22413272587221036,0.08104408984731079,0.0,0.0,0.11110857287145155
0.0,0.0,-0.09225226679703037,balanced,0,1,100,"{'gamma': 100, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",143,-0.14323894436525436,-0.08183170883849715,-0.22413272587221036,0.08104408984731079,0.0,0.0,0.1117669916732189
0.0,0.0,0.025808108430165257,balanced,0,2,0.1,"{'gamma': 0.1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",5,-0.02376913442707642,0.04724555912615343,0.08058229640253804,0.0,0.0,0.0,0.040611618068492984
0.0039060115814208984,0.0,-0.043317240076187216,balanced,0,2,1,"{'gamma': 1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",86,-0.11912173678640627,-0.09887865147828519,-0.1543033499620919,0.2002981862005382,0.006765410513973454,0.0,0.1416519813642729
0.0033774971961975098,0.0,-0.07566308224841764,balanced,0,2,10,"{'gamma': 10, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",136,-0.11444244151147037,-0.16116459280507606,-0.10744306187005072,0.08104408984731079,0.005849996746235516,0.0,0.09255235039649708
0.4264974594116211,0.0,-0.07578772753162914,balanced,0,2,100,"{'gamma': 100, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",137,-0.09111325773475437,-0.14055902285436916,0.02162446505451833,-0.09284766908852594,0.21087953944284818,0.0,0.05948803145169499
0.0,0.0,-0.11939354429289947,balanced,0.1,1,0.1,"{'gamma': 0.1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",156,-0.13828275675960497,-0.0268607654675127,-0.22413272587221036,-0.08798310886449139,0.0,0.0,0.07210292750588891
0.003906548023223877,0.0,-0.04302845924115978,balanced,0.1,1,1,"{'gamma': 1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",81,-0.09581644410252331,-0.09887865147828519,-0.22413272587221036,0.24759378423606915,0.006766339658431517,0.0,0.17514354655902728
0.0,0.0,-0.0952418481847593,balanced,0.1,1,10,"{'gamma': 10, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",149,-0.13828275675960497,-0.09887865147828519,-0.22413272587221036,0.08104408984731079,0.0,0.0,0.11110857287145155
0.0,0.0,-0.09225226679703037,balanced,0.1,1,100,"{'gamma': 100, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",143,-0.14323894436525436,-0.08183170883849715,-0.22413272587221036,0.08104408984731079,0.0,0.0,0.1117669916732189
0.003905951976776123,0.0,-0.06381136430988989,balanced,0.1,2,0.1,"{'gamma': 0.1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",127,-0.06081115784406593,0.06413118165630932,-0.22413272587221036,-0.034482758620689655,0.006765307275700337,0.0,0.10339653245788936
0.0,0.0,-0.04544945843098361,balanced,0.1,2,1,"{'gamma': 1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",89,-0.11912173678640627,-0.10744306187005072,-0.1543033499620919,0.2002981862005382,0.0,0.0,0.14253398466599823
0.0078125,0.0,-0.07207093887422315,balanced,0.1,2,10,"{'gamma': 10, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",133,-0.11444244151147037,-0.14744195615489714,-0.09887865147828519,0.07318548535838089,0.0078125,0.0,0.08544363960482922
0.24277746677398682,0.0,-0.062153314316253865,balanced,0.1,2,100,"{'gamma': 100, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",123,-0.08635755391767456,-0.1336306209562122,0.05976143046671968,-0.08798310886449139,0.1704890679948138,0.0,0.07270984445609521
0.003906905651092529,0.0,-0.11939354429289947,balanced,1,1,0.1,"{'gamma': 0.1, 'coef0': 1, 'class_weight': 'balanced', 'degree': 1}",156,-0.13828275675960497,-0.0268607654675127,-0.22413272587221036,-0.08798310886449139,0.006766959088070226,0.0,0.07210292750588891
0.0,0.0,-0.04302845924115978,balanced,1,1,1,"{'gamma': 1, 'coef0': 1, 'class_weight': 'balanced', 'degree': 1}",81,-0.09581644410252331,-0.09887865147828519,-0.22413272587221036,0.24759378423606915,0.0,0.0,0.17514354655902728
0.003905653953552246,0.0,-0.0952418481847593,balanced,1,1,10,"{'gamma': 10, 'coef0': 1, 'class_weight': 'balanced', 'degree': 1}",149,-0.13828275675960497,-0.09887865147828519,-0.22413272587221036,0.08104408984731079,0.006764791084334746,0.0,0.11110857287145155
0.00390625,0.0,-0.09225226679703037,balanced,1,1,100,"{'gamma': 100, 'coef0': 1, 'class_weight': 'balanced', 'degree': 1}",143,-0.14323894436525436,-0.08183170883849715,-0.22413272587221036,0.08104408984731079,0.0067658234670659265,0.0,0.1117669916732189
