mean_fit_time,mean_score_time,mean_test_score,param_class_weight,param_gamma,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score
0.004687285423278809,0.001562190055847168,0.2703231820319045,balanced,0.1,"{'class_weight': 'balanced', 'gamma': 0.1}",1,0.11954775893619533,0.145161324512799,0.2474410464610728,0.3670372447278536,0.29496308640500796,0.317940322158844,0.2324766006178762,0.2753443958769674,0.4088381597072996,0.3019523663197703,0.0071599467615396555,0.004686570167541503,0.08556794707591375
0.00468747615814209,0.0015624523162841796,0.2604222714276061,balanced,1,"{'class_weight': 'balanced', 'gamma': 1}",2,0.11954775893619533,0.145161324512799,0.2474410464610728,0.3670372447278536,0.2182178902359924,0.317940322158844,0.2324766006178762,0.25,0.44624818739293476,0.2668802563418119,0.007160238145875155,0.004687356948852538,0.09241752080006711
0.006249618530273437,0.0,0.1626426308386165,balanced,10,"{'class_weight': 'balanced', 'gamma': 10}",8,0.11954775893619533,0.07784989441615231,0.15910866733915033,0.39305149417108476,0.02227177015936872,0.11785113019775793,0.08716272672808179,0.4271410714851651,0.13740824592972883,0.08831908831908836,0.007654188252760613,0.0,0.12832258405392805
0.007617831230163574,0.0,0.11651006465104491,balanced,100,"{'class_weight': 'balanced', 'gamma': 100}",12,0.007453559924999305,0.07257196434806672,-0.038100038100057146,0.4443126517646069,-0.05455447255899808,-0.13245323570650439,0.5232710646939505,0.140028008402801,0.08571714180990858,0.12454411962617887,0.008004273492940224,0.0,0.2003451259677258
0.005238080024719238,0.0,0.0,"{0: 1, 1: 1}",0.1,"{'class_weight': {0: 1, 1: 1}, 'gamma': 0.1}",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006987937065617687,0.0,0.0
0.0046879291534423825,0.0015623807907104493,0.0,"{0: 1, 1: 1}",1,"{'class_weight': {0: 1, 1: 1}, 'gamma': 1}",15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007160930311363996,0.004687142372131348,0.0
0.004687619209289551,0.0,0.09886711782897661,"{0: 1, 1: 1}",10,"{'class_weight': {0: 1, 1: 1}, 'gamma': 10}",13,0.19764235376052372,0.29814239699997197,0.19512213717106627,-0.12361284651454939,0.1292191476761844,0.2773500981126145,0.23076923076923075,-0.1147078669352809,0.0,-0.1111111111111111,0.007160456632326235,0.0,0.160443949173286
0.00468747615814209,0.001562213897705078,0.03318006547537962,"{0: 1, 1: 1}",100,"{'class_weight': {0: 1, 1: 1}, 'gamma': 100}",14,0.050952466536506806,0.16250593531420837,0.058513949502328626,0.21951759136605822,-0.21821789023599236,-0.09245003270420485,-0.1111111111111111,0.17206180040292132,0.0,0.08571714180990858,0.007160238272895329,0.0046866416931152345,0.132095004525934
0.006249785423278809,0.0,0.2342035535133602,"{0: 1, 1: 2}",0.1,"{'class_weight': {0: 1, 1: 2}, 'gamma': 0.1}",5,0.11954775893619533,0.145161324512799,0.2474410464610728,0.3670372447278536,0.2182178902359924,0.3464101615137754,0.16012815380508716,0.2753443958769674,0.20227920227920232,0.26522987005040677,0.007654392647707616,0.0,0.07808700855773915
0.004687285423278809,0.0,0.22264792474868994,"{0: 1, 1: 2}",1,"{'class_weight': {0: 1, 1: 2}, 'gamma': 1}",6,0.11954775893619533,0.145161324512799,0.2474410464610728,0.27274251623275747,0.17545378532260503,0.14451832825402,0.2324766006178762,0.25,0.3050695435482863,0.3379631847096873,0.00715994675439448,0.0,0.0700629913345487
