mean_fit_time,mean_score_time,mean_test_score,param_C,param_class_weight,param_coef0,param_degree,param_gamma,param_kernel,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,std_fit_time,std_score_time,std_test_score
0.001197957992553711,0.0,0.0,0.1,balanced,0.1,2,0.01,poly,"{'gamma': 0.01, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0004004768645875145,0.0,0.0
0.0006001472473144531,0.0003989696502685547,0.0,0.1,balanced,0.1,2,0.1,poly,"{'gamma': 0.1, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0004900198072536737,0.0004886370160015489,0.0
0.0005995750427246094,0.0003997802734375,0.416305390706582,0.1,balanced,0.1,2,1,poly,"{'gamma': 1, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",268,0.2587745847533828,0.44999999999999996,0.7499999999999999,0.3113761843897638,0.3113761843897638,0.0004895510033578063,0.0004896288627950879,0.17850694690557128
0.001199483871459961,0.0,0.2959848572369676,0.1,balanced,0.1,2,10,poly,"{'gamma': 10, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 2, 'class_weight': 'balanced'}",400,0.16927779169233617,0.44999999999999996,0.361111111111111,0.09128709291752773,0.4082482904638631,0.0003994703968757247,0.0,0.14037166862311973
0.0005995750427246094,0.00019993782043457032,0.0,0.1,balanced,0.1,3,0.01,poly,"{'gamma': 0.01, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0004895510033578063,0.0003998756408691407,0.0
0.0007997035980224609,0.00019989013671875,0.0,0.1,balanced,0.1,3,0.1,poly,"{'gamma': 0.1, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0003998520086989724,0.0003997802734375,0.0
0.000599527359008789,0.00039992332458496096,0.38013524914851904,0.1,balanced,0.1,3,1,poly,"{'gamma': 1, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",322,0.3762560663311361,0.44999999999999996,0.44038550605054416,0.19364916731037093,0.44038550605054416,0.0004895121317013901,0.0004898040929593269,0.09688485650888348
0.012191486358642579,0.0,0.11138812152145192,0.1,balanced,0.1,3,10,poly,"{'gamma': 10, 'coef0': 0.1, 'C': 0.1, 'kernel': 'poly', 'degree': 3, 'class_weight': 'balanced'}",658,-0.05940885257860061,0.10000000000000007,0.2477168471534311,-0.08492077756084472,0.3535533905932738,0.003706941941343584,0.0,0.17033380082032576
0.000799560546875,0.00019989013671875,0.0,0.1,balanced,1,1,0.01,poly,"{'gamma': 0.01, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.00039978030187482947,0.0003997802734375,0.0
0.0005997657775878906,0.0001998424530029297,0.0,0.1,balanced,1,1,0.1,poly,"{'gamma': 0.1, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",786,0.0,0.0,0.0,0.0,0.0,0.0004897067609269814,0.0003996849060058594,0.0
0.00059967041015625,0.0003998279571533203,0.10694183867925929,0.1,balanced,1,1,1,poly,"{'gamma': 1, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",665,0.2886751345948129,0.19920476822239896,0.04682929057908452,0.0,0.0,0.0004896294664882487,0.0004896872921989839,0.11664139159964597
0.000799560546875,0.0001998424530029297,0.45798369787948384,0.1,balanced,1,1,10,poly,"{'gamma': 10, 'coef0': 1, 'C': 0.1, 'kernel': 'poly', 'degree': 1, 'class_weight': 'balanced'}",163,0.35404409643746665,0.573885641347411,0.6330541649476573,0.2477168471534311,0.48121773951145325,0.00039978035874948246,0.0003996849060058594,0.14116539157445399
