mean_fit_time,mean_score_time,mean_test_score,param_coef0,param_gamma,params,rank_test_score,split0_test_score,split10_test_score,split11_test_score,split12_test_score,split13_test_score,split14_test_score,split15_test_score,split16_test_score,split17_test_score,split18_test_score,split19_test_score,split1_test_score,split20_test_score,split21_test_score,split22_test_score,split23_test_score,split24_test_score,split25_test_score,split26_test_score,split27_test_score,split28_test_score,split29_test_score,split2_test_score,split30_test_score,split31_test_score,split32_test_score,split33_test_score,split34_test_score,split35_test_score,split36_test_score,split37_test_score,split38_test_score,split39_test_score,split3_test_score,split40_test_score,split41_test_score,split42_test_score,split43_test_score,split44_test_score,split45_test_score,split46_test_score,split47_test_score,split48_test_score,split49_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score
0.0009374570846557617,0.0,0.17173894702668638,0,0.1,"{'coef0': 0, 'gamma': 0.1}",19,0.009716450967513177,0.488881952601754,0.11916212650846164,-0.09232175486868892,-0.19718038490350276,0.0388422223797202,0.5580413468069156,0.26276961492048545,0.6100620887248275,-0.5128588434341329,0.1803600252030837,0.3647459387195435,0.08550150817433169,0.5198094725844694,0.21322908316769687,0.7657478001693226,-0.01640420746370593,-0.10116582296322661,0.0711981366971424,-0.5389701160285372,0.1948610933677618,-0.13934447070041614,0.2260715317820081,0.15721374420162865,-0.1868406283102265,0.05136275671190743,-0.10865762449877099,0.12940743590590428,0.7738728597597003,0.3851285065166094,0.2455866025792513,0.6465123861611867,0.46928314480961236,-0.2990620483649001,0.43812189443027755,-0.02599862753914364,-0.2451538567619433,0.27224002247560025,-0.011389497566652874,0.02895549260287892,0.7456592004341409,-0.35140965542548774,0.41017763422802545,0.6582515360396048,0.27594742630302443,0.5448264999220418,-0.15017249725723422,0.6336396302635449,0.09318397323685221,-0.06677853418338041,0.0037105620530798406,0.0,0.3255342081049748
0.0009374570846557617,0.0,0.2965832030616689,0,1,"{'coef0': 0, 'gamma': 1}",12,0.3470312542639334,0.5810353231833804,0.04922870620004297,0.13232622391571797,-0.015853584980178977,0.3704328465816747,0.6429291351516034,0.2628920735064439,0.49214992821721465,-0.19994730805731398,0.44973720400532013,0.43581075581755396,0.36377441828734963,0.5716707245496784,0.4369117742844105,0.6544037529012808,0.03638515863590721,-0.1727473807904247,0.20427625473635982,0.06486248529089914,0.3033937425990774,0.24965064879245719,0.3515363591595927,0.12754133797240993,0.07841097288861537,0.22670495874223454,-0.059172584800786014,0.3743932132456801,0.8140903095974147,0.47833228276749606,0.4815741032681408,0.6387673895734951,0.20164432394265883,-0.09414187984213565,0.3372655369460463,0.505273845966633,-0.0655574436926832,0.4024132106313818,0.05988653623949952,0.25168666285611346,0.7508264822546856,-0.31516981685487977,0.5621223177700712,0.7774538313727698,0.12285840052696582,0.39545956016734923,0.27302953446319983,0.44187919061028796,0.21431751281638306,0.23286180885576113,0.003710562040517969,0.0,0.25683293010256514
0.0012499046325683593,0.0006250143051147461,0.3063107010809416,0,10,"{'coef0': 0, 'gamma': 10}",3,0.2877134499874126,0.5419232993571372,-0.004090003566375915,0.08833228853385017,0.08757387920801243,0.5673624763732167,0.6491129494334021,0.2835074178112848,0.5095007674202614,-0.08077813298063163,0.3531326912288023,0.43088488247060946,0.2893368027655699,0.5887866649133668,0.4611684225198688,0.5692017280481201,0.008953264932585447,-0.21786954379922627,0.3427429259688554,0.04932988816420753,0.4030688055336945,0.3817687512433759,0.35743093472814363,0.150146015467083,0.12687623056830738,0.3552631819264652,0.041888375594119995,0.3874379940097718,0.7285233294003441,0.4236265709517608,0.33145322936367405,0.6327390304155608,0.28812347946041106,-0.22628358971543266,0.3582213127857897,0.4054228071793446,-0.22907712078211975,0.20023632723397508,0.17707653497807638,0.38521738552659457,0.6739137897252592,-0.2863788546264033,0.6299242399262559,0.8231461622055104,0.15054108914084074,0.5696858168888228,0.26986283937487254,0.32526272806963175,0.3839482764381716,0.32283670785815466,0.004238632838926741,0.003061932266461298,0.25500064833790353
0.0034374094009399416,0.0,0.3046190523893849,0,100,"{'coef0': 0, 'gamma': 100}",6,0.27812820597444654,0.5388577140656308,0.007205842975085193,0.09171061999409687,0.08931404760668665,0.5673393481944587,0.6544929632946587,0.28501786785019007,0.4931850269119539,-0.06059375522780639,0.30327457166006183,0.3396434268978564,0.2676804048815718,0.5995093196939516,0.45821580405556345,0.5669726430264566,0.007523419357415565,-0.1731627439270448,0.3737472134613843,0.07609177144825935,0.39974786963334463,0.39376088658054004,0.37114351411555063,0.1542709892223514,0.13502873165755788,0.3508971332232277,0.030807008496544715,0.45936556423223057,0.7084741130088288,0.4346117362957352,0.31800968515863715,0.6258003365612039,0.2885200044389665,-0.2091950506486102,0.35957908129501936,0.4037628048956022,-0.19928583583041778,0.1449340046492726,0.19550203468068528,0.38944853746165403,0.6359163970009997,-0.31491431473787224,0.6458052250532983,0.8212357212549387,0.15036028905312154,0.607208371779067,0.26958040903403596,0.30654758821321165,0.30275360814479196,0.3215339657444902,0.006472427947401752,0.0,0.2510787266672658
0.00031249046325683595,0.0,0.17169815290915522,0.1,0.1,"{'coef0': 0.1, 'gamma': 0.1}",20,0.009716450967513657,0.48888198434736657,0.11916213033749719,-0.09232171352140313,-0.1971804139050161,0.03651120897699398,0.5580413468068872,0.2627696204343825,0.6100620177724201,-0.5128588434341349,0.18036009157991786,0.3647459387195757,0.08550148802534757,0.5198094725844694,0.21322142608528158,0.76574780016927,-0.016404207463705696,-0.1011657772054805,0.07119811400619071,-0.5389701382037939,0.19486110911652316,-0.1393444871247404,0.2260715317820126,0.15719735494397663,-0.1868406141565521,0.051362858588641105,-0.10865762449877099,0.1294074150374919,0.7738728536300774,0.3851285238677022,0.2455866025792593,0.6465123985688151,0.4692831766352023,-0.29906199584546916,0.4381218944302913,-0.025753046338399265,-0.24515381103748368,0.2722399814698334,-0.011389517063092425,0.028955506519382924,0.7456592004341409,-0.35140965542547425,0.4101777129005511,0.6582515360396116,0.27594736362671485,0.5448264996997151,-0.1501724732326075,0.6336396199652458,0.09318397323685064,-0.06677849431466938,0.0021874332427978516,0.0,0.32554977566432003
0.0009374952316284179,0.0003125,0.296575221331482,0.1,1,"{'coef0': 0.1, 'gamma': 1}",15,0.34703119075020494,0.5810606564105855,0.04922873276710234,0.13231554608740864,-0.0158651579675783,0.3704535850385063,0.6429291342914554,0.26272548308965615,0.4920065712562558,-0.1998373529700566,0.4497975586203117,0.4358106962686366,0.36384267412543747,0.5716429002121838,0.43691189061960767,0.654477835693163,0.03638515456041138,-0.17274735167042593,0.2042100256100969,0.06495783666032366,0.3032776375984041,0.2496506315174175,0.3515561708908903,0.12755526214821808,0.07847022743024376,0.22657597727843232,-0.05918046489814969,0.37441739856248046,0.8140880378618611,0.4783411488351346,0.4813645246874492,0.6386997758061402,0.20164246490884938,-0.09400978748302377,0.33731219925502337,0.5052738055622387,-0.0654435132123081,0.4022991634010002,0.059894735565808196,0.25174394024766517,0.7508256168273874,-0.3152934923946101,0.562114236335181,0.7774538612421288,0.12282226082702358,0.3951995274426426,0.27294192869192074,0.441986738441452,0.2144387868161632,0.23286164887594196,0.0037107130628569796,0.0021874999999999998,0.25682092680371504
0.0015624666213989258,0.0,0.30631116571141725,0.1,10,"{'coef0': 0.1, 'gamma': 10}",2,0.2876916929549343,0.5419396686494992,-0.004139410724066332,0.0883342478423699,0.08750245795834023,0.5672397636631535,0.6491202217205121,0.2834634342528628,0.5094966533919719,-0.08093253465325213,0.3529788223829507,0.4308539700777481,0.2892645976158743,0.5888392703869952,0.4611977299890721,0.5691473894509868,0.00898812666149927,-0.21787200360940587,0.342813844337689,0.049420537989639024,0.40306774231747117,0.3816429668913201,0.35745967227223624,0.1502654535506159,0.1268048624522544,0.3554554396153944,0.04193571691329462,0.38741801249660296,0.7285350758122769,0.42357345524739254,0.33147940179049157,0.6327247662334918,0.28806238321201066,-0.22631127267978957,0.3581479391100009,0.4054234419730851,-0.22874733661940186,0.2001627786412865,0.1770994459293091,0.38517187699268374,0.6738751721814333,-0.2863296968257384,0.629980225760056,0.8231450000998879,0.1505414890636877,0.5698180036586982,0.2699028100558795,0.32530174233111175,0.38397746853528403,0.3227821220962151,0.004687399884472879,0.0,0.2549885320504075
0.003124871253967285,0.0,0.30458607712005115,0.1,100,"{'coef0': 0.1, 'gamma': 100}",10,0.2781483665294572,0.5388703733105783,0.007250962637629958,0.0916290834848672,0.08919938568736588,0.5674749746654397,0.6545135434067367,0.28501997132662055,0.4931815385262276,-0.060690186185200924,0.3034243208425869,0.3396300004079771,0.2675049083220231,0.5994566414363423,0.45823003500540926,0.5669822840818048,0.007499199909860575,-0.17302836478319086,0.37370025062100354,0.07598038169358257,0.3997424582814395,0.39385945781381754,0.37117762048896863,0.1542096716569691,0.13504355113395416,0.3508858141768923,0.029809054590058393,0.45939107807760887,0.708401453202245,0.4345704521175068,0.31802785340187695,0.6258747499305938,0.2885271427213039,-0.20931917897941166,0.35955587430330455,0.40365614386198095,-0.19970515895933255,0.14485430339610766,0.19556345817362045,0.38945651768229633,0.6358406631749014,-0.3149325878515757,0.6457858002670807,0.8212608728390761,0.15042161567299667,0.6071965893432704,0.26954824177883224,0.3065969159687352,0.30290702142116915,0.32155600780612786,0.006249742530681969,0.0,0.2511269500632301
0.0006249332427978515,0.0,0.17174021796070324,1,0.1,"{'coef0': 1, 'gamma': 0.1}",18,0.00971645096751882,0.48887196311180753,0.11916212252579726,-0.09232161647564063,-0.19718048964115406,0.03884309069918365,0.558041346806912,0.2627696139590672,0.6100427984270695,-0.5128588434341709,0.18035922028349544,0.3647459387195435,0.08550149761992276,0.5198094725844624,0.2132291265887257,0.765747800169274,-0.016404207463706397,-0.101166662098276,0.07119800940369143,-0.5388755777484908,0.1948613103994627,-0.13934441862007813,0.22607153178201708,0.15716290053620044,-0.1868407202832063,0.05136290680107985,-0.10865762449877242,0.1294067243105826,0.7738729346224522,0.38512850052483943,0.2455866025792273,0.6465124186261264,0.46928315408079735,-0.29924754574715695,0.4381218944302913,-0.025998873100328126,-0.2451536511730319,0.27231809519545147,-0.011389526178520312,0.028965952517751862,0.7456592004340113,-0.351409655425497,0.41017741761485554,0.658251536039643,0.27594756129311165,0.54482649933706,-0.15001853746217533,0.6336396670462361,0.09318397323685064,-0.06677852549120314,0.0030615351396571875,0.0,0.3255321729401812
0.0006249094009399414,0.0,0.2965786760222691,1,1,"{'coef0': 1, 'gamma': 1}",13,0.3470520538406515,0.5810607539988351,0.0492286964323637,0.13232708128685566,-0.01586516622298075,0.3705619116559445,0.6429291363568576,0.2628577704666662,0.49207504322873935,-0.19994760829205635,0.4497372347565042,0.43600430036949517,0.3637550369505944,0.5716705720919409,0.43691183492409724,0.6544038040688315,0.03638513753742595,-0.17274732365468068,0.20431149147086608,0.06483397574028624,0.3032776428019818,0.24965057141345026,0.35153624679509365,0.12750820609185434,0.07847024334076921,0.22670493725582155,-0.05917259515422942,0.37430451432711753,0.8140904756599654,0.4783323016079331,0.481415588922338,0.6387302245999464,0.2016443233030414,-0.09400977145119976,0.33726562205322785,0.5052738459666294,-0.06553343939321744,0.40229894520314247,0.05988653260769562,0.2517438156712074,0.7508516875326203,-0.3152351252654432,0.5620857587023369,0.777453812698462,0.12285843863277987,0.3951996170283428,0.2730294290586127,0.44187920518419377,0.21443908775843928,0.23286160018071983,0.0030614183378632935,0.0,0.25682628818231784
