mean_fit_time,mean_score_time,mean_test_score,param_class_weight,param_coef0,param_degree,param_gamma,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,std_fit_time,std_score_time,std_test_score
0.0015627384185791016,0.0,0.0,balanced,0,1,0.1,"{'gamma': 0.1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046882152557373045,0.0,0.0
0.0015623331069946288,0.0,0.027493072695983684,balanced,0,1,1,"{'gamma': 1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",41,0.23809523809523808,0.39477101697586137,0.380952380952381,-0.3714285714285713,-0.25819888974716115,-0.2390457218668788,-0.19245008972987526,0.0755928946018456,0.0,0.1690308509457033,0.004686999320983886,0.0,0.2637084249264163
0.0015625,0.0,0.0869610517052744,balanced,0,1,10,"{'gamma': 10, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",19,0.5476190476190476,0.28288947493050187,0.05143444998736408,0.028571428571428623,-0.447213595499958,-0.12499999999999988,-0.0975900072948533,0.15811388300841886,0.25,0.1690308509457033,0.004687500000000001,0.0,0.2573717485832066
0.0031247854232788084,0.0,0.08640254821690131,balanced,0,1,100,"{'gamma': 100, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",24,0.5476190476190476,0.28288947493050187,0.05143444998736408,-0.2390457218668788,-0.447213595499958,-0.12499999999999988,0.0,0.15811388300841886,0.25,0.3333333333333333,0.006249570864976149,0.0,0.2809907689404774
0.0015625,0.0,0.0,balanced,0,2,0.1,"{'gamma': 0.1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004687500000000001,0.0,0.0
9.999275207519531e-05,0.0015798568725585937,0.08222905587293702,balanced,0,2,1,"{'gamma': 1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",32,0.23809523809523808,0.09759000729485326,-0.09759000729485326,-0.028571428571428466,-0.3779644730092272,0.25000000000000006,0.0,0.15811388300841886,0.25,0.3333333333333333,0.00029997825622558595,0.004739570617675781,0.2018273530978345
0.011281442642211915,0.0,-0.00011313835466674672,balanced,0,2,10,"{'gamma': 10, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",120,0.5476190476190476,-0.07142857142857145,0.05143444998736408,-0.47809144373375745,-0.447213595499958,0.11952286093343924,-0.3333333333333333,0.15811388300841886,0.40824829046386296,0.0,0.011445573071538586,0.0,0.3244364922795249
0.9668184757232666,0.0,0.00020988984511770406,balanced,0,2,100,"{'gamma': 100, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",61,0.5476190476190476,-0.21957751641342005,0.05143444998736408,-0.3142857142857142,-0.447213595499958,0.11952286093343924,-0.3333333333333333,0.15811388300841886,0.40824829046386296,0.0,0.5578330373106498,0.0,0.31169306789236173
0.0015629768371582032,0.0,0.0,balanced,0.1,1,0.1,"{'gamma': 0.1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00468893051147461,0.0,0.0
0.0,0.0,0.027493072695983684,balanced,0.1,1,1,"{'gamma': 1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",41,0.23809523809523808,0.39477101697586137,0.380952380952381,-0.3714285714285713,-0.25819888974716115,-0.2390457218668788,-0.19245008972987526,0.0755928946018456,0.0,0.1690308509457033,0.0,0.0,0.2637084249264163
0.0025202274322509766,0.00010004043579101563,0.0869610517052744,balanced,0.1,1,10,"{'gamma': 10, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",19,0.5476190476190476,0.28288947493050187,0.05143444998736408,0.028571428571428623,-0.447213595499958,-0.12499999999999988,-0.0975900072948533,0.15811388300841886,0.25,0.1690308509457033,0.0048034354027996235,0.0003001213073730469,0.2573717485832066
0.0015627384185791016,0.0,0.08640254821690131,balanced,0.1,1,100,"{'gamma': 100, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",24,0.5476190476190476,0.28288947493050187,0.05143444998736408,-0.2390457218668788,-0.447213595499958,-0.12499999999999988,0.0,0.15811388300841886,0.25,0.3333333333333333,0.0046882152557373045,0.0,0.2809907689404774
0.0015624523162841796,0.0,0.0,balanced,0.1,2,0.1,"{'gamma': 0.1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004687356948852538,0.0,0.0
0.0,0.0015624284744262696,0.08427624998820148,balanced,0.1,2,1,"{'gamma': 1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",29,0.23809523809523808,0.09759000729485326,0.05143444998736408,-0.1690308509457033,-0.3779644730092272,0.25000000000000006,0.0,0.15811388300841886,0.25,0.3333333333333333,0.0,0.004687285423278808,0.20585006943327863
0.009374618530273438,0.0,-0.007098886460299822,balanced,0.1,2,10,"{'gamma': 10, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",121,0.5476190476190476,-0.21957751641342005,0.05143444998736408,-0.3142857142857142,-0.447213595499958,0.11952286093343924,-0.40824829046386296,0.15811388300841886,0.40824829046386296,0.0,0.00765434402846386,0.0,0.3201909939980593
