mean_fit_time,mean_score_time,mean_test_score,param_class_weight,param_coef0,param_degree,param_gamma,params,rank_test_score,split0_test_score,split1_test_score,split2_test_score,split3_test_score,std_fit_time,std_score_time,std_test_score
0.0039067864418029785,0.0,-0.04669599307855384,balanced,0,1,0.1,"{'gamma': 0.1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",141,-0.10978492927901579,0.008913661474229603,-0.22413272587221036,0.1392715036327889,0.0067667526115239894,0.0,0.1350027094479652
0.002115011215209961,0.0002493858337402344,-0.01102935264994947,balanced,0,1,1,"{'gamma': 1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",93,-0.10048565804159282,-0.010072787050317252,-0.15178571428571427,0.21971768720102053,0.0015812586030784735,0.0004319489347260107,0.14217627056232685
0.0009993314743041992,0.0004996061325073242,-0.023221703628300883,balanced,0,1,10,"{'gamma': 10, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",119,-0.11444244151147037,-0.08183170883849715,-0.10744306187005072,0.2123507433382009,6.848052318737541e-07,0.0004996061325073242,0.13617415417746584
0.003497302532196045,0.0002499818801879883,-0.017778662231640107,balanced,0,1,100,"{'gamma': 100, 'coef0': 0, 'class_weight': 'balanced', 'degree': 1}",114,-0.10978492927901579,-0.06470396333157186,-0.10744306187005072,0.2123507433382009,0.0011171267117532485,0.00043298131745719143,0.13370631483365308
0.0012490153312683105,0.0004996061325073242,-0.02968828330046953,balanced,0,2,0.1,"{'gamma': 0.1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",131,-0.03389830508474576,0.05603318146805257,-0.11664236870396082,-0.02417547385148619,0.0004319834242428285,0.0004996061609514392,0.06102361949343724
0.0009990930557250977,0.0002499818801879883,0.05504131252089093,balanced,0,2,1,"{'gamma': 1, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",35,-0.11444244151147037,0.08404977220207888,0.017857142857142853,0.2355255057696851,2.0647654623614278e-07,0.00043298131745719143,0.12623055947269932
0.007245540618896484,0.0002497434616088867,-0.10016443939813442,balanced,0,2,10,"{'gamma': 10, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",158,-0.08152745848611406,-0.10482848367219183,-0.12662932291827403,-0.08798310886449139,0.005065088030638411,0.00043256836436471915,0.017454059610067702
0.022530734539031982,0.0004996061325073242,-0.012223350485318467,balanced,0,2,100,"{'gamma': 100, 'coef0': 0, 'class_weight': 'balanced', 'degree': 2}",101,-0.08635755391767456,0.16116459280507608,-0.04962916669854651,-0.07283570407292296,0.008796008970897886,0.0004996061609514392,0.10069127397078795
0.0,0.0,-0.04669599307855384,balanced,0.1,1,0.1,"{'gamma': 0.1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",141,-0.10978492927901579,0.008913661474229603,-0.22413272587221036,0.1392715036327889,0.0,0.0,0.1350027094479652
0.003907144069671631,0.0,-0.01102935264994947,balanced,0.1,1,1,"{'gamma': 1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",93,-0.10048565804159282,-0.010072787050317252,-0.15178571428571427,0.21971768720102053,0.006767372041162698,0.0,0.14217627056232685
0.0,0.0,-0.023221703628300883,balanced,0.1,1,10,"{'gamma': 10, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",119,-0.11444244151147037,-0.08183170883849715,-0.10744306187005072,0.2123507433382009,0.0,0.0,0.13617415417746584
0.003905951976776123,0.0,-0.017778662231640107,balanced,0.1,1,100,"{'gamma': 100, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 1}",114,-0.10978492927901579,-0.06470396333157186,-0.10744306187005072,0.2123507433382009,0.006765307275700337,0.0,0.13370631483365308
0.0,0.0039060115814208984,-0.109689549671528,balanced,0.1,2,0.1,"{'gamma': 0.1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",160,-0.07153128892876656,-0.08183170883849715,-0.22413272587221036,-0.06189844605901729,0.0,0.006765410513973454,0.06626542229306658
0.0,0.0,0.05728287831600375,balanced,0.1,2,1,"{'gamma': 1, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",34,-0.11444244151147037,0.08404977220207888,0.02686076546751267,0.2355255057696851,0.0,0.0,0.1256288590029238
0.005158066749572754,0.0,-0.10016443939813442,balanced,0.1,2,10,"{'gamma': 10, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",158,-0.08152745848611406,-0.10482848367219183,-0.12662932291827403,-0.08798310886449139,0.006379473673822594,0.0,0.017454059610067702
0.027412772178649902,0.0002497434616088867,-0.012223350485318467,balanced,0.1,2,100,"{'gamma': 100, 'coef0': 0.1, 'class_weight': 'balanced', 'degree': 2}",101,-0.08635755391767456,0.16116459280507608,-0.04962916669854651,-0.07283570407292296,0.011122546996961415,0.00043256836436471915,0.10069127397078795
0.0014990568161010742,0.0002505779266357422,-0.04669599307855384,balanced,1,1,0.1,"{'gamma': 0.1, 'coef0': 1, 'class_weight': 'balanced', 'degree': 1}",141,-0.10978492927901579,0.008913661474229603,-0.22413272587221036,0.1392715036327889,0.0005003216438756349,0.00043401370018837215,0.1350027094479652
0.00099945068359375,0.0009989738464355469,-0.01102935264994947,balanced,1,1,1,"{'gamma': 1, 'coef0': 1, 'class_weight': 'balanced', 'degree': 1}",93,-0.10048565804159282,-0.010072787050317252,-0.15178571428571427,0.21971768720102053,5.840038639982171e-07,6.529361695112778e-07,0.14217627056232685
